alert_id,event_time,src_ip,dst_ip,asset_name,business_level,log_source,attack_type,rule_id,rule_name,matched_field,matched_value,severity,evidence,recommendation,raw_message
ALT-000001,2026-06-15 08:00:02,59.81.154.38,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:00:02+08:00"", ""src_ip"": ""59.81.154.38"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000002,2026-06-15 08:00:41,100.205.237.214,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:00:41+08:00"", ""src_ip"": ""100.205.237.214"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000003,2026-06-15 08:01:29,66.40.79.15,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:01:29+08:00"", ""src_ip"": ""66.40.79.15"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000004,2026-06-15 08:02:04,48.209.17.144,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:02:04+08:00"", ""src_ip"": ""48.209.17.144"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000005,2026-06-15 08:03:20,79.113.142.233,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:03:20+08:00"", ""src_ip"": ""79.113.142.233"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000006,2026-06-15 08:04:11,61.215.53.28,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:04:11+08:00"", ""src_ip"": ""61.215.53.28"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000007,2026-06-15 08:04:42,200.23.195.37,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:04:42+08:00"", ""src_ip"": ""200.23.195.37"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000008,2026-06-15 08:05:29,117.10.150.187,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:05:29+08:00"", ""src_ip"": ""117.10.150.187"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000009,2026-06-15 08:06:51,151.3.252.5,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:06:51+08:00"", ""src_ip"": ""151.3.252.5"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000010,2026-06-15 08:07:28,134.106.93.222,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:07:28+08:00"", ""src_ip"": ""134.106.93.222"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
