event_time,src_ip,dst_ip,asset_name,business_level,exposure,log_source,event_type,request_method,request_uri,status_code,user_agent,username,auth_result,signature,severity,raw_message
2026-06-15 08:00:02,59.81.154.38,192.168.10.10,Web-Server-01,core,public,suricata_eve,alert,,,,,,,ET WEB_SERVER Possible SQL Injection Attempt,1.0,"{""timestamp"": ""2026-06-15T08:00:02+08:00"", ""src_ip"": ""59.81.154.38"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
2026-06-15 08:00:07,133.211.80.102,192.168.10.40,OA-System-01,high,public,access_log,web_request,GET,/download/manual.pdf,200,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/127.0,,,,,"133.211.80.102 - - [15/Jun/2026:08:00:07 +0800] ""GET /download/manual.pdf HTTP/1.1"" 200 7753 ""https://portal.example.local/"" ""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/127.0"" ""192.168.10.40"""
2026-06-15 08:00:08,75.183.243.183,192.168.10.20,Login-Server-01,core,public,auth_log,authentication,,,,,emma,success,,,2026-06-15 08:00:08 src_ip=75.183.243.183 dst_ip=192.168.10.20 username=emma auth_result=success
2026-06-15 08:00:26,103.99.77.75,192.168.10.20,Login-Server-01,core,public,access_log,web_request,GET,/status,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126.0 Safari/537.36,,,,,"103.99.77.75 - - [15/Jun/2026:08:00:26 +0800] ""GET /status HTTP/1.1"" 200 5867 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126.0 Safari/537.36"" ""192.168.10.20"""
2026-06-15 08:00:41,100.205.237.214,192.168.10.20,Login-Server-01,core,public,suricata_eve,alert,,,,,,,ET WEB_SERVER Possible XSS Attempt,2.0,"{""timestamp"": ""2026-06-15T08:00:41+08:00"", ""src_ip"": ""100.205.237.214"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
2026-06-15 08:00:55,41.95.245.249,192.168.10.10,Web-Server-01,core,public,access_log,web_request,GET,/api/v1/orders?page=1,200,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/127.0,,,,,"41.95.245.249 - - [15/Jun/2026:08:00:55 +0800] ""GET /api/v1/orders?page=1 HTTP/1.1"" 200 6059 ""https://portal.example.local/"" ""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/127.0"" ""192.168.10.10"""
2026-06-15 08:01:06,39.103.130.199,192.168.10.20,Login-Server-01,core,public,auth_log,authentication,,,,,alice,failed,,,2026-06-15 08:01:06 src_ip=39.103.130.199 dst_ip=192.168.10.20 username=alice auth_result=failed
2026-06-15 08:01:23,35.87.227.188,192.168.10.10,Web-Server-01,core,public,access_log,web_request,GET,/index.html,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 Version/17.0 Safari/605.1.15,,,,,"35.87.227.188 - - [15/Jun/2026:08:01:23 +0800] ""GET /index.html HTTP/1.1"" 200 4847 ""https://portal.example.local/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 Version/17.0 Safari/605.1.15"" ""192.168.10.10"""
2026-06-15 08:01:29,66.40.79.15,192.168.10.30,DB-Server-01,high,internal,suricata_eve,alert,,,,,,,ET SCAN Nmap Scripting Engine User-Agent Detected,2.0,"{""timestamp"": ""2026-06-15T08:01:29+08:00"", ""src_ip"": ""66.40.79.15"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
2026-06-15 08:01:46,50.76.150.228,192.168.10.20,Login-Server-01,core,public,access_log,web_request,GET,/products?id=1001,200,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/127.0,,,,,"50.76.150.228 - - [15/Jun/2026:08:01:46 +0800] ""GET /products?id=1001 HTTP/1.1"" 200 3897 ""https://portal.example.local/"" ""Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/127.0"" ""192.168.10.20"""
2026-06-15 08:01:56,196.203.135.174,192.168.10.20,Login-Server-01,core,public,auth_log,authentication,,,,,bob,success,,,2026-06-15 08:01:56 src_ip=196.203.135.174 dst_ip=192.168.10.20 username=bob auth_result=success
2026-06-15 08:02:04,48.209.17.144,192.168.10.40,OA-System-01,high,public,suricata_eve,alert,,,,,,,ET POLICY Suspicious inbound to mySQL port 3306,1.0,"{""timestamp"": ""2026-06-15T08:02:04+08:00"", ""src_ip"": ""48.209.17.144"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
2026-06-15 08:02:07,100.122.149.220,192.168.10.20,Login-Server-01,core,public,access_log,web_request,GET,/download/manual.pdf,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 Version/17.0 Safari/605.1.15,,,,,"100.122.149.220 - - [15/Jun/2026:08:02:07 +0800] ""GET /download/manual.pdf HTTP/1.1"" 200 2211 ""https://portal.example.local/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 Version/17.0 Safari/605.1.15"" ""192.168.10.20"""
2026-06-15 08:02:31,170.66.137.124,192.168.10.10,Web-Server-01,core,public,access_log,web_request,GET,/user/profile,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 Version/17.0 Safari/605.1.15,,,,,"170.66.137.124 - - [15/Jun/2026:08:02:31 +0800] ""GET /user/profile HTTP/1.1"" 200 1764 ""https://portal.example.local/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 Version/17.0 Safari/605.1.15"" ""192.168.10.10"""
2026-06-15 08:02:50,171.117.134.153,192.168.10.10,Web-Server-01,core,public,suricata_eve,alert,,,,,,,ET POLICY Curl User-Agent Outbound,3.0,"{""timestamp"": ""2026-06-15T08:02:50+08:00"", ""src_ip"": ""171.117.134.153"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Curl User-Agent Outbound"", ""severity"": 3, ""category"": ""Attempted Information Leak""}}"
2026-06-15 08:02:55,214.150.253.65,192.168.10.20,Login-Server-01,core,public,auth_log,authentication,,,,,helen,failed,,,2026-06-15 08:02:55 src_ip=214.150.253.65 dst_ip=192.168.10.20 username=helen auth_result=failed
2026-06-15 08:02:56,165.106.32.168,192.168.10.10,Web-Server-01,core,public,access_log,web_request,POST,/blog/2026/security-weekly,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 Version/17.0 Safari/605.1.15,,,,,"165.106.32.168 - - [15/Jun/2026:08:02:56 +0800] ""POST /blog/2026/security-weekly HTTP/1.1"" 200 4987 ""https://portal.example.local/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) AppleWebKit/605.1.15 Version/17.0 Safari/605.1.15"" ""192.168.10.10"""
